,Date,Closed PnL
0,2023-01-05,0.0
1,2023-05-12,0.0
2,2023-12-14,-205.43473700000007
3,2023-12-15,-24.632033999999997
4,2023-12-16,0.0
5,2023-12-17,304.982785
6,2023-12-18,0.0
7,2023-12-19,1000.5386120000001
8,2023-12-20,162.732282
9,2023-12-21,537.211402
10,2023-12-22,141.832675
11,2023-12-23,146.936704
12,2023-12-24,1008.619956
13,2023-12-25,-245.081348
14,2023-12-27,-704.8892269999999
15,2023-12-28,-970.730876
16,2023-12-29,508.92214299999995
17,2023-12-30,354.998648
18,2024-01-01,-129.53146
19,2024-01-02,0.0
20,2024-01-03,8244.241409
21,2024-01-04,2507.963406
22,2024-01-05,0.0
23,2024-01-06,91.510419
24,2024-01-07,5065.839308
25,2024-01-08,167.080017
26,2024-01-09,137.433093
27,2024-01-10,0.0
28,2024-01-11,1040.5747959999999
29,2024-01-12,1718.257116
30,2024-01-15,152.85358
31,2024-01-16,-2299.171458
32,2024-01-17,813.2741110000001
33,2024-01-18,68.93319
34,2024-01-19,-385.419235
35,2024-01-20,-146.57487000000003
36,2024-01-21,266.58114600000005
37,2024-01-22,1375.640959
38,2024-01-23,-369.2447299999998
39,2024-01-24,-2808.353815
40,2024-01-25,-3093.6293849999997
41,2024-01-26,90.2
42,2024-01-28,-2478.06972
43,2024-01-29,486.562542
44,2024-01-30,-173.65419100000003
45,2024-01-31,-799.840817
46,2024-02-01,783.979116
47,2024-02-02,456.423473
48,2024-02-03,230.90060000000005
49,2024-02-04,883.760812
50,2024-02-06,192.906947
51,2024-02-07,2421.253116
52,2024-02-08,782.3681909999999
53,2024-02-09,0.0
54,2024-02-10,0.0
55,2024-02-11,0.0
56,2024-02-12,1008.89342
57,2024-02-13,559.44389
58,2024-02-14,3830.599833
59,2024-02-15,1840.797677
60,2024-02-16,5491.768834
61,2024-02-17,1929.6418
62,2024-02-18,477.6248299999999
63,2024-02-19,4317.768563
64,2024-02-20,3263.628824
65,2024-02-21,1858.7985700000002
66,2024-02-22,3894.1050699999996
67,2024-02-23,1418.55293
68,2024-02-25,-30.7705
69,2024-02-26,4416.8473
70,2024-02-27,888.511733
71,2024-02-28,2503.747235
72,2024-02-29,9813.996992
73,2024-03-01,866.015507
74,2024-03-02,223.30918699999998
75,2024-03-03,8361.086245
76,2024-03-04,126.7884
77,2024-03-05,5306.017045
78,2024-03-06,562.808208
79,2024-03-07,1118.387284
80,2024-03-08,464.1897
81,2024-03-10,100.375782
82,2024-03-11,0.0
83,2024-03-12,22264.645003999998
84,2024-03-13,0.0
85,2024-03-14,3465.865832
86,2024-03-15,6236.513651
87,2024-03-16,228.57984
88,2024-03-17,503.293955
89,2024-03-18,1456.9577
90,2024-03-19,668.797973
91,2024-03-20,6423.134599
92,2024-03-21,2335.5080749999997
93,2024-03-24,1297.018477
94,2024-03-25,1302.916428
95,2024-03-26,3215.906593
96,2024-03-27,150.41114
97,2024-03-28,227.85100799999998
98,2024-03-29,883.097404
99,2024-03-30,1100.57514
100,2024-03-31,912.786145
101,2024-04-01,-67.60364
102,2024-04-02,47.62389499999999
103,2024-04-03,27799.775742
104,2024-04-04,0.0
105,2024-04-05,0.0
106,2024-04-06,52.211438
107,2024-04-07,0.0
108,2024-04-08,-108495.490463
109,2024-04-09,1065.785132
110,2024-04-10,0.0
111,2024-04-11,2799.410474
112,2024-04-12,276234.338316
113,2024-04-13,6621.451755
114,2024-04-14,-36104.012520000004
115,2024-04-15,3774.08872
116,2024-04-16,2467.702221
117,2024-04-17,2441.4683999999997
118,2024-04-19,1946.4454620000001
119,2024-04-20,0.0
120,2024-04-22,0.0
121,2024-04-23,1119.536196
122,2024-04-24,279.185907
123,2024-04-25,0.0
124,2024-04-26,0.0
125,2024-04-27,4281.488139
126,2024-04-28,0.0
127,2024-04-29,526.9338359999999
128,2024-04-30,0.0
129,2024-05-01,164.141565
130,2024-05-02,-33.45419400000003
131,2024-05-03,19791.026041
132,2024-05-04,10706.484306
133,2024-05-05,0.916
134,2024-05-06,56.055506
135,2024-05-07,0.0
136,2024-05-08,-13013.665169
137,2024-05-09,0.0
138,2024-05-10,5767.161892
139,2024-05-11,678.4759280000001
140,2024-05-12,54609.587024
141,2024-05-13,2136.853859
142,2024-05-14,1150.5233050000002
143,2024-05-15,948.970582
144,2024-05-16,214.5898
145,2024-05-18,3522.3946610000003
146,2024-05-19,0.0
147,2024-05-20,-74.818442
148,2024-05-21,7289.397571999999
149,2024-05-22,0.0
150,2024-05-23,413.347329
151,2024-05-24,821.949278
152,2024-05-25,14.126038999999999
153,2024-05-26,778.6839
154,2024-05-27,1129.35587
155,2024-05-29,277.791953
156,2024-05-30,20.951433
157,2024-05-31,25.35812
158,2024-06-01,135.58166400000002
159,2024-06-02,-215.615907
160,2024-06-03,6814.825139
161,2024-06-04,236.33513399999998
162,2024-06-05,968.59038
